DATASET_COLORSTRIP
SEPARATOR COMMA
DATASET_LABEL,RMotif
2653871141,#000000
2654398626,#000000
2654721458,#FFFFFF
2654896486,#000000
2655737999,#000000
2656602902,#000000
2657040349,#000000
2657371958,#000000
2658526870,#000000
2661412623,#000000
2664419674,#000000
2665924548,#000000
2668542361,#000000
2672468637,#000000
2673240153,#000000
2674946593,#000000
2676288994,#000000
2676305265,#000000
2676823708,#000000
2681975437,#000000
2682581977,#000000
2683449215,#000000
2684770006,#000000
2685523923,#000000
2685851736,#000000
2685874899,#000000
2686626682,#000000
2687722789,#000000
2689225124,#000000
2690163021,#000000
2695589341,#000000
2696448630,#000000
2699072016,#000000
2703716035,#000000
2706333248,#000000
2707826191,#000000
2708415011,#000000
2708461709,#000000
2712876120,#000000
2715489206,#000000
2718988555,#000000
2721818588,#000000
2723880805,#000000
2725054621,#000000
2727919427,#000000
2729853871,#FFFFFF
2731395398,#FFFFFF
2732534769,#000000
2735528768,#000000
2738994342,#000000
2739063732,#000000
2740991936,#000000
2743095418,#000000
2743242889,#000000
2744178196,#FFFFFF
2752564086,#000000
2752697136,#000000
2752818003,#000000
2753012635,#000000
2753578448,#000000
2756130653,#000000
2756662145,#000000
2756757408,#000000
2756903887,#000000
2758121679,#000000
637169670,#FFFFFF
637313272,#000000
637314846,#000000
637776587,#000000
638025617,#000000
638963693,#000000
640556532,#000000
641345424,#000000
641675484,#000000
641706767,#000000
642599850,#000000
643466155,#000000
643583553,#000000
643585975,#000000
643585977,#000000
646566478,#000000
646570577,#000000
646754604,#000000
647565411,#000000
647572375,#000000
647576409,#000000
650129405,#000000
650977002,#000000
2503613954,#000000
2503613957,#000000
2503613959,#000000
2503635039,#000000
2503747364,#000000
2504648148,#000000
2506601331,#000000
2506609737,#000000
2507318795,#000000
2507451008,#000000
2509422588,#000000
2509428872,#000000
2509508812,#000000
2509575586,#000000
2509595288,#000000
2509811409,#000000
2509813137,#000000
2510101544,#000000
2510102621,#000000
2511038471,#000000
2512507891,#000000
2512507895,#000000
2512511554,#000000
2512513310,#000000
2516923383,#000000
2516991653,#000000
2517241106,#000000
2529414822,#000000
2534356852,#000000
2549982635,#000000
2549984116,#000000
2556786304,#000000
2563077023,#FFFFFF
2578017418,#000000
2583271092,#000000
2585140030,#000000
2585342097,#000000
2595103141,#000000
2597407909,#000000
2619250743,#000000
2619251465,#000000
2628070275,#000000
2628366099,#000000
2631722277,#000000
2637009629,#000000
2637010074,#000000
2637739258,#000000
2638795009,#000000
2639212580,#000000
2641368938,#FFFFFF
2646044560,#FFFFFF
2646299545,#000000
2653681759,#000000
2653685691,#FFFFFF
2673879370,#000000
2683941841,#000000
2687482476,#000000
2687485717,#000000
2687485721,#FFFFFF
2687486036,#000000
2690557714,#000000
2691422579,#000000
2691422582,#000000
2700281546,#000000
2714951402,#000000
2719355094,#000000
2719356705,#000000
2721860155,#000000
2725877597,#000000
2725878586,#000000
2728922848,#000000
2733642447,#FFFFFF
2745215289,#000000
2745814382,#000000
2745817402,#000000
2752802232,#000000
2758565311,#000000
642657627,#000000
642750513,#000000
2507463391,#000000
2512917956,#FFFFFF
2728203415,#000000
2728328857,#000000
641096982,#FFFFFF
2514800626,#FFFFFF
2559593776,#FFFFFF
2599043169,#FFFFFF
2634937111,#FFFFFF
2635924883,#FFFFFF
640858386,#000000
642851245,#000000
645007404,#000000
646284085,#000000
648433910,#000000
648851191,#000000
651596056,#000000
2506734393,#000000
2508507942,#000000
2520444196,#000000
2522303838,#FFFFFF
2523934366,#FFFFFF
2524020360,#FFFFFF
2525228074,#000000
2537173142,#FFFFFF
2557097426,#000000
2558252846,#000000
2558977014,#FFFFFF
2560022917,#000000
2564010107,#000000
2587800133,#000000
2599829089,#000000
2609721907,#000000
2624741682,#000000
2626699160,#FFFFFF
2628685850,#000000
2631586469,#000000
2635237006,#FFFFFF
2638610342,#FFFFFF
2647165744,#000000
2653802776,#000000
2656284461,#FFFFFF
2661084866,#000000
2671631328,#000000
2677141036,#000000
2682734415,#000000
2689871815,#000000
2698147549,#000000
2714147626,#000000
2752760718,#000000
639744470,#000000
641717420,#000000
645042903,#000000
648487228,#000000
650890098,#000000
2508508108,#000000
2516521678,#000000
2531215741,#000000
2587762522,#000000
2588160813,#000000
2596737711,#000000
2611776081,#000000
2620967811,#000000
2631211459,#000000
2638238256,#000000
2648280857,#000000
2676272484,#000000
2715324074,#000000
2723653257,#000000
2723653259,#000000
2766427097,#000000
637781349,#000000
644838244,#000000
646670561,#000000
648111759,#000000
648709309,#000000
2502432563,#FFFFFF
2504154516,#000000
2507135869,#000000
2508736457,#000000
2509742132,#000000
2510114991,#000000
2510273284,#000000
2514183994,#000000
2514923022,#000000
2523709494,#000000
2524003704,#000000
2524274339,#000000
2525212477,#000000
2526265107,#000000
2527180326,#000000
2559157359,#000000
2559585404,#000000
2562215772,#000000
2562526309,#000000
2568551555,#000000
2571096354,#000000
2574158547,#000000
2597046850,#000000
2600104507,#000000
2603578787,#000000
2623321370,#000000
2629330975,#000000
2631972722,#000000
2639034295,#000000
2654896492,#000000
2655737993,#000000
2731395405,#000000
2740991934,#000000
2743095412,#000000
2752564080,#000000
2752697130,#000000
2756903893,#000000
2509742134,#000000
640448068,#FFFFFF
640784793,#FFFFFF
641111151,#FFFFFF
646312608,#FFFFFF
646315435,#FFFFFF
646317912,#FFFFFF
649974196,#FFFFFF
651235538,#FFFFFF
2263232752,#FFFFFF
2501544018,#FFFFFF
2506502977,#FFFFFF
2506719987,#FFFFFF
2508511813,#FFFFFF
2509051597,#FFFFFF
2509083574,#FFFFFF
2512784381,#FFFFFF
2513590081,#FFFFFF
2514680665,#FFFFFF
2514705863,#FFFFFF
2515468185,#FFFFFF
2520384987,#FFFFFF
2521970165,#FFFFFF
2523094844,#FFFFFF
2523755036,#FFFFFF
2524318457,#FFFFFF
2527535175,#FFFFFF
2528735113,#FFFFFF
2528817357,#FFFFFF
2529200946,#FFFFFF
2534536305,#FFFFFF
2540574824,#FFFFFF
2540576379,#FFFFFF
2541003346,#FFFFFF
2548828451,#000000
2551991020,#FFFFFF
2557165930,#FFFFFF
2574441679,#FFFFFF
2579128081,#FFFFFF
2579618311,#FFFFFF
2586983992,#FFFFFF
2595227386,#FFFFFF
2596566649,#FFFFFF
2598756720,#FFFFFF
2603084747,#FFFFFF
2611046485,#FFFFFF
2611931264,#FFFFFF
2617473638,#FFFFFF
2617852305,#FFFFFF
2617970411,#FFFFFF
2618063501,#FFFFFF
2618063689,#FFFFFF
2620061982,#FFFFFF
2628297299,#FFFFFF
2628453047,#FFFFFF
2629148383,#FFFFFF
2629384958,#FFFFFF
2629788773,#FFFFFF
2632621469,#FFFFFF
2636584114,#FFFFFF
2636599620,#FFFFFF
2644548068,#FFFFFF
2646204589,#FFFFFF
2649766122,#FFFFFF
2651732008,#FFFFFF
2651892464,#FFFFFF
2652901972,#FFFFFF
2653805529,#FFFFFF
2654379267,#FFFFFF
2655425651,#FFFFFF
2658541038,#FFFFFF
2661194330,#FFFFFF
2664362497,#FFFFFF
2667993553,#FFFFFF
2673058961,#FFFFFF
2676397669,#FFFFFF
2677141218,#FFFFFF
2677166455,#FFFFFF
2677913042,#FFFFFF
2678945843,#FFFFFF
2684794301,#FFFFFF
2685267574,#FFFFFF
2685525260,#FFFFFF
2689704664,#FFFFFF
2694901422,#FFFFFF
2709150738,#FFFFFF
2709719457,#FFFFFF
2710251556,#FFFFFF
2710378793,#FFFFFF
2714123513,#FFFFFF
2714418176,#FFFFFF
2716629005,#FFFFFF
2716940175,#FFFFFF
2718465550,#FFFFFF
2719366896,#FFFFFF
2721868268,#FFFFFF
2721901620,#FFFFFF
2722110024,#FFFFFF
2722353732,#FFFFFF
2726038940,#FFFFFF
2729288949,#FFFFFF
2729853899,#FFFFFF
2730405303,#FFFFFF
2730657165,#FFFFFF
2732783696,#FFFFFF
2733978285,#FFFFFF
2738928484,#FFFFFF
2739817910,#FFFFFF
2745711085,#FFFFFF
2754359878,#FFFFFF
2755618021,#FFFFFF
